id;client_id;name;gstin;status;email_id;phone_number
1;Berkshire;structure;Bicycle transparent sky;ACTIVE;Danish primary;Dollar perferendis
2;auxiliary deposit Kansas;Soap Operations Qatari;content;INACTIVE;male project Assurance;Elegant Germany exuding
3;mobile Future;which gadzooks Northeast;24/7 female which;INACTIVE;transitional since since;female second Sedan
4;underneath Nissan;Sri blue;female hacking;ACTIVE;experiment;Spain
5;bandwidth;greedily meter;hybrid Minnesota;ACTIVE;Web;Argon
6;Kids;at;Unbranded assumenda;INACTIVE;Peso navigating Dietrich;Southeast Account Bicycle
7;Books Neodymium withdrawal;male Cobalt Health;instruction Jazz;INACTIVE;Accountability;impure West
8;orchid index mmm;Hat Plastic;Chair;INACTIVE;Incredible;Account Card Ball
9;Baby Applications Calcium;Bacon Country;Granite person;INACTIVE;Customer Northeast Lead;Mississippi
10;Fantastic Bedfordshire;Metal Lakes;female Folk;INACTIVE;Electronic;Division
